מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
בחני מודל, מי מהתכונות הבאות משותפת לכל היונקים והעופות?,שפיר (Amnion),חלב,לב עם ארבעה חדרים (A four chambered heart),מערכת נשימה הכוללת שקי אויר (air sacs),א+ג,,5,The Diversity of Life,TRUE,,בוחן 4
בחני מודל,איזו מההצהרות הבאות על תולעים נימיות אינה נכונה?,נמטודות לא מצויות בבתי גידול ימיים,אין להן מערכת דם,הן כוללות מינים רבים שהם טפילים של צמחים וחיות,הן מתפקדות בפירוק ומחזור חומרי הזנה,,,1,The Diversity of Life,FALSE,,בוחן 4
בחני מודל,איזה מהתכונות הבאות קיימות בצפרדעים?,שיערות המכילות קרטין,ידיים עם אצבעות ,שלפוחית אויר,ביצה שפירית (amniotic egg),,,2,The Diversity of Life,FALSE,,בוחן 4
בחני מודל, איזה מהמשפטים הבאים שגוי,ציפורים הם צאצאים של קבוצת הדינוזאורים,איצטלנים (Tunicata) הם מיתרניים (chordates) שמאבדים את המיתר בהפיכה לבוגר,מיקסינות (Myxines) הם בעלי חוליות ללא חוליות,נחשים הם בעלי-ארבע-רגליים (tetrapodes ) בלי רגליים,יונקי ביב (Monotremata ) הם יונקים ללא חלב,,5,The Diversity of Life,FALSE,,בוחן 4
בחני מודל, מה נכון לגבי Australopithecus afarensis?,הם יישבו את אירופה (colonized Europe), היה להם מוח גדול,הם הלכו על שתי רגליים,א+ב+ג נכונים,אף תשובה אינה נכונה,,3,The Diversity of Life,TRUE,,בוחן 4
בחני מודל,"צמד, כריש, לטאה וארנב חולקים את כל המאפיינים הבאים חוץ מ:",חוליות ,לסתות עם מפרקים,חוט עצבים חלול גבי,פתחי זימים בעובר,,,2,The Diversity of Life,FALSE,,בוחן 4
בחני מודל,סידקי זימים לועיים(Pharyngeal gill slits) התפתחו לראשונה לצורכי- ,נשימה,אכילה בסינון (filter feeding),תמיכה בחלל הפה (buccal cavity),יצירת רקמה של בלוטות,,,2,The Diversity of Life,FALSE,,בוחן 4
בחני מודל,"לפי מה שלמדתם בשיעורים, אנטיביוטיקה מסוג פנצילין תעבוד בצורה היעילה ביותר כנגד:",חיידקים גראם שליליים,בקטריופאג'ים,חיידקים גראם חיוביים,טפילים חד תאיים,,,3,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,"קיבלנו 2 דגימות שונות של חיידקים מבית החולים,ידוע לנו שאוכלוסייה 1 בעלת עמידות לאנטיביוטיקה X בניגוד לאוכלוסייה 2 שאינה עמידה.  ביצענו ניסוי בשלבים: חלק א- חשפנו כל אוכלוסייה לאנטיביוטיקה X למשך שעתיים ואז - לקחנו דגימה מכל אוכלוסייה (שמרנו חלק קטן בהקפאה).

חלק ב- לאחר חלק א ,גידלנו את הדגימות יחד (2 האוכלוסיות מעורבבות עכשיו) למשך שלושה ימים (ללא אנטיביוטיקה) ביום הרביעי הוספנו אנטיביוטיקה וחיכינו יום.

חלק ג- בסוף היום החמישי לקחנו דגימה של חיידקים ומצאנו ששתיי האוכלוסיות עמידות לאנטיביוטיקה X.

 איזה מסיח הכי מחזק את ההשערה שהיה תהליך של העברת גנים אופקית (LGT/HGT) בין אוכלוסיה 1 לאוכלוסיה 2:",אוכלוסייה 1 לאחר חלק א נמצאה עמידה לאנטיביוטיקה X,אוכלוסייה 2 לאחר חלק א נמצאה עמידה לאנטיביוטיקה X,אוכלוסייה 2 בעלת F Factor  בכרומוזום שלה,אוכלוסייה 1 בעלת F Factor  בכרומוזום שלה,,,4,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,באילו 2 דרכים פרוקריוטים השפיעו עליך לטובה היום? סמן 2 תשובות!,הם ביצעו פוטוסינטזה בתוך המעיים שלי.,הם יצרו חומרים שחשובים לפעילות המוח התקינה שלי.,"הם פיתחו עמידות לאנטיביוטיקה, שהופכת אותם לנסבלים יותר.",הם עזרו לפרק את האוכל שאכלתי היום.,,,"2,4",The Diversity of Life,FALSE,,בוחן 5
בחני מודל,"כשטרנספוזום עובר ממקומו המקורי בדנ""א התא הוא:",עובר טרנספורמציה לתוך תא אחר,לעולם משנה את הרצף שלו תוך כדי המעבר מהמקום המקורי לחדש,לעיתים משאיר עותק במקום המקורי,"לעולם עובר במלואו ממקום אחד לאחר (לא משאיר שום רצפי דנ""א במקום המקורי)",,,3,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,מה ייחודי בדופן התא הבקטריאלי?,הרכב הכולל חלבונים וסוכרים,שכבה של פפטידוגליקנים,שתי שכבות של ממברנות,,,,2,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,"יצאתם החוצה לסיבוב קצר 100 מטר מחוץ לבית (לא התעדכנתם לגבי ההקלות בהנחיות) ,נרדמתם על ספסל רחוב בשמש ,קרינת השמש פגעה במספר נוקלאוטידים באזור לא מקודד לחלבון בתא עור מסוים שלכם, לפי מה שלמדתם בשיעור רוב הסיכויים שמוטציה זו היא:","מטיבה, כלומר משפרת את תפקוד התא","מזיקה, כלומר פוגעת בתפקוד התא","ניטרלית,כלומר אין לה השפעה על תפקוד התא",,,,3,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,איזה מהבאים הוא איננו מנגנון העברת גנים לטרלי?,קוניוגציה,טרנספורמציה,קרינה,טרנסדוקציה,,,3,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,החיידק הלא-פתוגני Nonus harmfulus החי במעי רכש עמידות לאנטיביוטיקה אמפיצילין. איזה מהמשפטים הבאים הוא הנכון ביותר? ,"מכיוון שהבקטריה אינה פתוגנית, אין כל נזק",ישנו סיכון להעברת העמידות לאנטיביוטיקה לחיידק פתוגני באמצעות העברת גן אופקית lateral gene transfer)),"רכישת עמידות לאנטיביוטיקה מגבירה את המגוון הגנטי של החיידק,ויכולה לשפר את תפקודו כחיידק מעי",,,,2,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,מהי התשובה הנכונה בנוגע לספורה (spore)?,תצורה של התא שמאפשרת העברת לאטרלית של חומר גנטי.,תצורה של התא שמאפיינת חיידקי גראם חיוביים בלבד בכדי לשרוד בתנאי סביבה קשים. כשתנאי הסביבה ישתפרו החיידקים יוכל לחזור ולתפקד.,תצורה של התא שמאפיינת חיידקים בזמן התרבות. בסיום הרבייה החיידק חוזר לצורתו המקורית,"תצורה של התא שמאפיינת חיידקים בזמן עקה, המאופיינת בדופן קשיח ועצירת פעילות מטאבולית.",,,4,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,"חשפת במעבדה זבוב דרוזופילה בוגר לריכוז גבוה של חומר המזרז יצירת מוטציות, באחת הגמטות של אותו הזבוב נוצרה מוטציה מזיקה בגן HOX כלשהו, למה נצפה?",גני HOX מאד חשובים ולכן הזבוב ימות,נצפה לראות בעיה עתידית בהתפתחות העובר המקושר לאותה הגמטה,"לא נצפה לראות כלום, גני HOX ידועים ביכולת תיקון נזקים גנטיים",נצפה לפגיעה בהתפתחות של אותו הזבוב כתוצאה מהמוטציה הזו,,,2,The Diversity of Life,FALSE,,בוחן 5
בחני מודל,"היחס שבין  ספורופיט לגמטופיט בטחב , הינו כמו היחס שבין:",אח לאחות,סב לנכדו,דוד לאחיין,הורה לילד ,שני בני דודים,,4,Biology of Plants,FALSE,,בוחן 6
בחני מודל,"מי מהמשפטים הבאים מתאר את הגורמים שתרמו להצלחתם של צמחי זרעים, על פי סדר הופעתם באבולוציה, כפי שמשתקף מתיעוד מאובנים?
(סדר את הופעת התהליכים באופן כרונולוגי ממוקדם למאוחר, מימין לשמאל)","זרעים, מערכות הובלה, פרחים, קוטיקולה","קוטיקולה, זרעים, פרחים, מערכות הובלה","קוטיקולה, מערכות הובלה, זרעים, פרחים","מערכות הובלה, קוטיקולה, זרעים, פרחים",,,3,Biology of Plants,FALSE,,בוחן 6
בחני מודל,מדוע במיני צמחים רבים מתקיימת תרדמת זרעים?,מאחר ותרדמת זרעים מאריכה את משך חייו של צמח ספורופיטי,מאחר ותרדמת זרעים מאפשרת לזרעים לנבוט כאשר התנאים הם מיטביים לנביטה,מאחר ותרדמת זרעים מבטיחה כי הנבט לא יתחרה בהורה שלו,מאחר ותרדמת זרעים מבטיחה כי נבט לא יינבט בהעדר מקורות מזון בסביבה,,,2,Biology of Plants,FALSE,,בוחן 6
בחני מודל,הגורם הסלקטיבי העיקרי במעבר של צמחים מהים ליבשה הוא:,מים,נוטריינטים,אור,מציאת בן-זוג לצורך התרבות,,,3,Biology of Plants,FALSE,,בוחן 6
בחני מודל,"במי מבין קבוצות הצמחים הבאות, הספורופיט תלוי בתזונתו בגמטופיט מטמיע (המבצע פוטוסינטזה)?",שרכים,טחביים,קשקשניים (Lycophytes),קלמופיטיים (Horsetails),,,2,Biology of Plants,FALSE,,בוחן 6
בחני מודל,הגמטופיט הינו:,שלב דומיננטי במהלך מחזור החיים של מרבית הצמחים  היבשתיים,שלב דומיננטי רק במחזור חייהם של צמחים בקבוצת השרכיים,שלב דומיננטי במהלך מחזור חייהם של טחבים,שלב מינורי במהלך מחזור חייהם של טחבים ושרכים,,,3,Biology of Plants,FALSE,,בוחן 6
בחני מודל,"צמחים שבהם התפתחו מערכות הובלה במהלך האבולוציה הינם בעלי יתרון תחרותי אל מול  צמחים שאינם בעלי מערכות הובלה, זאת מאחר והן מאפשרות:",התרבות דרך ספורות,אגירת מים,גדילה לגובה,פיתוח פיוניות,תמיכה בגמטופיט גדול יותר,,3,Biology of Plants,FALSE,,בוחן 6
בחני מודל,לאחר מיוזה בטחבים מתפתח/ת:,תא מין,ספורה,תא ספורופיטי,תא ניצן,,,2,Biology of Plants,FALSE,,בוחן 6
בחני מודל,מי מהמשפטים הבאים הוא הנכון ביותר?,"פרחים הם איבר שתומך בהאבקה, הפרייה והתפתחות הזרע והפרי.",פרחים הם איבר שתומך בתהליך ההפריה בלבד.,פרחים הם איבר שנועד למשוך מאביקים.,פרחים הם איבר הנמצא בכל צמחי הזרעים.,,,1,Biology of Plants,FALSE,,בוחן 6
בחני מודל,"לפניכם ארבע ההתאמות שהופיעו במהלך האבולוציה של צמחים:

קוטיקולה, מערכות הובלה, זרעים ופרחים.

מבין המסיחים בטבלה, מי מציין את קבוצות הצמחים המתאימה לשלב האבולוציוני הבא (מסומן בקו בטבלה)?",(ferns (and relatives - שרכים,(bryophytes (mosses - טחביים,flowering plants - צמחים פורחים,gymnosperms - חשופי זרע,,,1,Biology of Plants,FALSE,https://i.imgur.com/JoeDlSo.png,בוחן 6
